group,coverage,average_promised,average_actual,average_lateness,average_earliness,expected_cost,sample_count,policy,quantile
87d30a6a0cbf89356e49324971ab1d24,0.8571428571428571,16.038123510759792,10.466412863756617,1.3850740860875042,6.956784733090686,13.882155163528207,14.0,q90,0.9
87d3c3aeb3ead335511b3ce315eb341e,1.0,17.55250102857676,5.938489583333333,0.0,11.61401144524343,11.61401144524343,6.0,q90,0.9
87e24fc7052259b1f7f607d61c10d8be,0.8,21.840065228929497,15.362953703703704,1.1231733019558754,7.600284827181672,13.216151336961047,5.0,q90,0.9
880ce4951cf857ab1d9e0b75c1d856f4,1.0,19.547368521244564,15.04616898148148,0.0,4.501199539763084,4.501199539763084,1.0,q90,0.9
883dd81e82754ac2c65e9790a7db8c9a,1.0,19.309580173480928,7.735189043209876,0.0,11.574391130271053,11.574391130271053,3.0,q90,0.9
88460e8ebdecbfecb5f9601833981930,0.7687861271676301,25.028969941817536,18.64447802932991,1.7233501143239547,8.107842026811584,16.72459259843136,173.0,q90,0.9
888faa8bfb0b159c37de6d898b961c31,1.0,24.034937318941388,8.451053240740741,0.0,15.58388407820065,15.58388407820065,2.0,q90,0.9
88ae906ea2acf6971f26c3e8b7cb4357,0.6666666666666666,17.258587089459684,15.088244598765433,2.146558177844002,4.316900668538254,15.049691557758264,3.0,q90,0.9
88cf19ec1fc2c58f161aee259d57142c,1.0,15.415380226918462,7.21708912037037,0.0,8.19829110654809,8.19829110654809,2.0,q90,0.9
891071be6ba827b591264c90c2ae8a63,0.7647058823529411,16.759785683461192,14.133837826797384,3.362660109841167,5.988607966504973,22.801908515710803,34.0,q90,0.9
8931a84a914b3fe9b1ddaa4d704947ca,0.8,17.72640455937726,12.21242476851852,0.9071069887943963,6.42108677965314,10.95662172362512,10.0,q90,0.9
897060da8b9a21f655304d50fd935913,0.7258064516129032,18.222986425905987,16.02622031810036,2.527393605499174,4.724159713304803,17.361127740800672,124.0,q90,0.9
89757206b887aed36f3e18d858460fea,1.0,26.86864318829581,12.240763888888889,0.0,14.62787929940692,14.62787929940692,1.0,q90,0.9
89a51f50b8095ea78d5768f34c13a76f,1.0,19.998343993834595,7.3522736625514415,0.0,12.646070331283154,12.646070331283154,9.0,q90,0.9
89ad3263c0931c47f976d7c5778e60f6,1.0,18.406649384895697,5.321180555555555,0.0,13.08546882934014,13.08546882934014,2.0,q90,0.9
89c127985a8b130cfa45c1d36764017a,1.0,17.66852610824024,5.052951388888889,0.0,12.61557471935135,12.61557471935135,1.0,q90,0.9
89d9a386b0b6e5fc8403071b03f7206a,1.0,17.790176425998098,13.494710648148148,0.0,4.295465777849949,4.295465777849949,2.0,q90,0.9
89dda63a3c907c468ec88c310ed91213,1.0,30.16361473563151,25.440254629629628,0.0,4.723360106001881,4.723360106001881,1.0,q90,0.9
89f69225956f951295ca4c7fb1266553,1.0,20.59594861392114,9.828468364197532,0.0,10.767480249723612,10.767480249723612,6.0,q90,0.9
8a130737016f838139d31878787a39c9,0.8181818181818182,17.034724760927247,10.56844039351852,0.9382610548533428,7.404545422262072,12.095850696528784,44.0,q90,0.9
8a1ff5c35f6595a73fef4c7b96e4908a,1.0,26.34767452519725,12.423831018518518,0.0,13.92384350667873,13.92384350667873,1.0,q90,0.9
8a2d12a90e92f012ce5226fc6592b653,1.0,21.729402087567014,8.622045717592593,0.0,13.10735636997442,13.10735636997442,12.0,q90,0.9
8a32e327fe2c1b3511609d81aaf9f042,0.6666666666666666,15.20008305513529,9.693356481481482,0.26432849915337836,5.771055072807187,7.092697568574079,3.0,q90,0.9
8a40ae794fa3f9892cee24bd5af0488b,1.0,28.877858715408173,20.12234953703704,0.0,8.755509178371135,8.755509178371135,2.0,q90,0.9
8a43128d7f9a3db592b866e6861a6cce,1.0,17.957701727483574,6.707858796296296,0.0,11.249842931187276,11.249842931187276,2.0,q90,0.9
8a432f4e5b471f8da497d7dc517666e2,0.8333333333333334,18.5987287588505,9.966060715663579,0.5003103216335093,9.132978364820426,11.634529972987975,48.0,q90,0.9
8a9260f2b0340411d6d2a56bcf4f7378,0.8,21.989039193933195,11.074606481481482,1.088200415405992,12.002633127857703,17.443635204887663,5.0,q90,0.9
8ab42aa58097fd4668d60cc648225d5f,0.8333333333333334,21.551163260959886,11.659743441358025,0.3004406067919092,10.19186042639377,11.694063460353314,12.0,q90,0.9
